timestamp,metric,value,run_name,method,test_case,field,tags
1499289917000,jmeter.latency.avg,17.7254501355,nightly-2017-07-05-14-23-51,dv,jsonfacet,s10_s,{}
1499290101000,jmeter.latency.avg,16.4471562352,nightly-2017-07-05-14-26-55,dv,jsonfacet,s100_s,{}
1499290285000,jmeter.latency.avg,19.4769024006,nightly-2017-07-05-14-29-59,dv,jsonfacet,s1000_s,{}
1499290469000,jmeter.latency.avg,19.6514890674,nightly-2017-07-05-14-33-03,dv,jsonfacet,s10000_s,{}
1499290653000,jmeter.latency.avg,27.6092689846,nightly-2017-07-05-14-36-07,dv,jsonfacet,s100000_s,{}
1499290837000,jmeter.latency.avg,42.0948464356,nightly-2017-07-05-14-39-11,dv,jsonfacet,s1000000_s,{}
1499291021000,jmeter.latency.avg,18.1733960313,nightly-2017-07-05-14-42-16,enum,jsonfacet,s10_s,{}
1499291205000,jmeter.latency.avg,16.0743114206,nightly-2017-07-05-14-45-20,enum,jsonfacet,s100_s,{}
1499291389000,jmeter.latency.avg,19.2526224817,nightly-2017-07-05-14-48-24,enum,jsonfacet,s1000_s,{}
1499291573000,jmeter.latency.avg,20.1597189628,nightly-2017-07-05-14-51-28,enum,jsonfacet,s10000_s,{}
1499291758000,jmeter.latency.avg,28.3570724965,nightly-2017-07-05-14-54-32,enum,jsonfacet,s100000_s,{}
1499291942000,jmeter.latency.avg,42.1743904571,nightly-2017-07-05-14-57-36,enum,jsonfacet,s1000000_s,{}
1499357652000,jmeter.latency.avg,20.0365948688,nightly-2017-07-06-09-12-46,dv,jsonfacet,s10_s,{}
1499357836000,jmeter.latency.avg,18.921735409,nightly-2017-07-06-09-15-50,dv,jsonfacet,s100_s,{}
1499358020000,jmeter.latency.avg,20.7425683516,nightly-2017-07-06-09-18-54,dv,jsonfacet,s1000_s,{}
1499358204000,jmeter.latency.avg,24.1103331913,nightly-2017-07-06-09-21-58,dv,jsonfacet,s10000_s,{}
1499358388000,jmeter.latency.avg,33.9584638311,nightly-2017-07-06-09-25-02,dv,jsonfacet,s100000_s,{}
1499358572000,jmeter.latency.avg,45.3109213355,nightly-2017-07-06-09-28-06,dv,jsonfacet,s1000000_s,{}
1499358756000,jmeter.latency.avg,20.3136233993,nightly-2017-07-06-09-31-10,enum,jsonfacet,s10_s,{}
1499358940000,jmeter.latency.avg,19.233775486,nightly-2017-07-06-09-34-14,enum,jsonfacet,s100_s,{}
1499359124000,jmeter.latency.avg,21.6226267148,nightly-2017-07-06-09-37-18,enum,jsonfacet,s1000_s,{}
1499359308000,jmeter.latency.avg,23.8110982739,nightly-2017-07-06-09-40-22,enum,jsonfacet,s10000_s,{}
1499359492000,jmeter.latency.avg,33.6190762159,nightly-2017-07-06-09-43-26,enum,jsonfacet,s100000_s,{}
1499359677000,jmeter.latency.avg,46.068719742,nightly-2017-07-06-09-46-31,enum,jsonfacet,s1000000_s,{}
1499400508000,jmeter.latency.avg,20.1370248143,nightly-2017-07-06-21-07-02,dv,jsonfacet,s10_s,{}
1499400692000,jmeter.latency.avg,18.8923281767,nightly-2017-07-06-21-10-06,dv,jsonfacet,s100_s,{}
1499400876000,jmeter.latency.avg,21.4004241302,nightly-2017-07-06-21-13-10,dv,jsonfacet,s1000_s,{}
1499401060000,jmeter.latency.avg,24.0252902836,nightly-2017-07-06-21-16-14,dv,jsonfacet,s10000_s,{}
1499401244000,jmeter.latency.avg,33.8679693283,nightly-2017-07-06-21-19-18,dv,jsonfacet,s100000_s,{}
1499401428000,jmeter.latency.avg,46.5410504246,nightly-2017-07-06-21-22-22,dv,jsonfacet,s1000000_s,{}
1499401612000,jmeter.latency.avg,20.4324379378,nightly-2017-07-06-21-25-27,enum,jsonfacet,s10_s,{}
1499401796000,jmeter.latency.avg,19.1319365715,nightly-2017-07-06-21-28-31,enum,jsonfacet,s100_s,{}
1499401980000,jmeter.latency.avg,21.4162318531,nightly-2017-07-06-21-31-35,enum,jsonfacet,s1000_s,{}
1499402164000,jmeter.latency.avg,23.9434278813,nightly-2017-07-06-21-34-38,enum,jsonfacet,s10000_s,{}
1499402348000,jmeter.latency.avg,33.7500963915,nightly-2017-07-06-21-37-42,enum,jsonfacet,s100000_s,{}
1499402532000,jmeter.latency.avg,47.0813358561,nightly-2017-07-06-21-40-46,enum,jsonfacet,s1000000_s,{}
